,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
H54,Ceguera Y Deficiencia Visual (Binicular O Monocular),H549,Deficiencia visual no especificada (binocular)
H55,Nistagmo Y Otros Movimientos Oculares Irregulares,H55X,Nistagmo y otros movimientos oculares irregulares
H57,Otros Trastornos Del Ojo Y Sus Anexos,H570,Anomalias de la funcion pupilar
H57,Otros Trastornos Del Ojo Y Sus Anexos,H571,Dolor ocular
H57,Otros Trastornos Del Ojo Y Sus Anexos,H578,Otros trastornos especificados del ojo y sus anexos
H57,Otros Trastornos Del Ojo Y Sus Anexos,H579,"Trastorno del ojo y sus anexos, no especificado"
H58,Otros Trastornos Del Ojo Y Sus Anexos En Enfermedades Clasificadas En Otra Parte,H580,Anomalias de la funcion pupilar en enfermedades clasificadas en otra parte
H58,Otros Trastornos Del Ojo Y Sus Anexos En Enfermedades Clasificadas En Otra Parte,H581,Alteraciones de la vision en enfermedades clasificadas en otra parte
H58,Otros Trastornos Del Ojo Y Sus Anexos En Enfermedades Clasificadas En Otra Parte,H588,Otros trastornos especificados del ojo en enfermedades clasificadas en otra parte
H59,"Trastornos Del Ojo Y Sus Anexos Consecutivos A Procedimientos, No Clasificados En Otra Parte",H590,Queratopatia (bullosa afaquica) consecutiva a cirugia de catarata
H59,"Trastornos Del Ojo Y Sus Anexos Consecutivos A Procedimientos, No Clasificados En Otra Parte",H598,"Otros trastornos del ojo y sus anexos, consecutivos a procedimientos"
H59,"Trastornos Del Ojo Y Sus Anexos Consecutivos A Procedimientos, No Clasificados En Otra Parte",H599,"Trastorno no especificado del ojo y sus anexos, consecutivo a procedimientos"
H60,Otitis Externa,H600,Absceso del oido externo
H60,Otitis Externa,H601,Celulitis del oido externo
H60,Otitis Externa,H602,Otitis externa maligna
H60,Otitis Externa,H603,Otras otitis externas infecciosas
H60,Otitis Externa,H604,Colesteatoma del oido externo
H60,Otitis Externa,H605,"Otitis externa aguda, no infecciosa"
H60,Otitis Externa,H608,Otras otitis externas
H60,Otitis Externa,H609,"Otitis externa, sin otra especificacion"
H61,Otros Trastornos Del Oido Externo,H610,Pericondritis del oido externo
H61,Otros Trastornos Del Oido Externo,H611,Afecciones no infecciosas del pabellon auditivo
H61,Otros Trastornos Del Oido Externo,H612,Cerumen impactado
H61,Otros Trastornos Del Oido Externo,H613,Estenosis adquirida del conducto auditivo externo
H61,Otros Trastornos Del Oido Externo,H618,Otros trastornos especificados del oido externo
H61,Otros Trastornos Del Oido Externo,H619,"Trastorno del oido externo, no especificado"
H62,Trastornos Del Oido Externo En  Enfermedades Clasificadas En Otra Parte,H620,Otitis externa en enfermedades bacterianas clasificadas en otra parte
H62,Trastornos Del Oido Externo En  Enfermedades Clasificadas En Otra Parte,H621,Otitits externa en enfermedades virales clasificadas en otra parte
H62,Trastornos Del Oido Externo En  Enfermedades Clasificadas En Otra Parte,H622,Otitits externa en micosis
H62,Trastornos Del Oido Externo En  Enfermedades Clasificadas En Otra Parte,H623,Otitits externa en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
H62,Trastornos Del Oido Externo En  Enfermedades Clasificadas En Otra Parte,H624,Otitits externa en otras enfermedades clasificadas en otra parte
H62,Trastornos Del Oido Externo En  Enfermedades Clasificadas En Otra Parte,H628,Otros trastornos del oido externo en enfermedades clasificadas en otra parte
H65,Otitis Media No Supurativa,H650,Otitis media aguda serosa
H65,Otitis Media No Supurativa,H651,"Otra otitis media aguda, no supurativa"
H65,Otitis Media No Supurativa,H652,Otitis media cronica serosa
H65,Otitis Media No Supurativa,H653,Otitis media cronica mucoide
H65,Otitis Media No Supurativa,H654,Otras otitis medias cronicas no supurativas
H65,Otitis Media No Supurativa,H659,"Otitis media no supurativa, sin otra especificacion"
H66,Otitis Media Supurativa Y La No Especificada,H660,Otitis media supurativa aguda
H66,Otitis Media Supurativa Y La No Especificada,H661,Otitis media tubotimpanica supurativa cronica
H66,Otitis Media Supurativa Y La No Especificada,H662,Otitis media supurativa cronica aticoantral
H66,Otitis Media Supurativa Y La No Especificada,H663,Otras otitis medias cronicas supurativas
H66,Otitis Media Supurativa Y La No Especificada,H664,"Otitis media supurativa, sin otra especificacion"
H66,Otitis Media Supurativa Y La No Especificada,H669,"Otitis media, no especificada"
H67,Otitis Media En Enfermedades Clasificadas En Otra Parte,H670,Otitis media en enfermedades bacterianas clasificadas en otra parte
H67,Otitis Media En Enfermedades Clasificadas En Otra Parte,H671,Otitis media en enfermedades virales clasificadas en otra parte
H67,Otitis Media En Enfermedades Clasificadas En Otra Parte,H678,Otitis media en otras enfermedades clasificadas en otra parte
H68,Inflamacion Y Obstruccion De La Trompa De Eustaquio,H680,Salpingitis eustaquiana
H68,Inflamacion Y Obstruccion De La Trompa De Eustaquio,H681,Obstruccion de la trompa de Eustaquio
H69,Otros Trastornos De La Trompa De Eustaquio,H690,Distension de la trompa de Eustaquio
H69,Otros Trastornos De La Trompa De Eustaquio,H698,Otros trastornos especificados de la trompa de Eustaquio
H69,Otros Trastornos De La Trompa De Eustaquio,H699,"Trastorno de la trompa de Eustaquio, no especificado"
H70,Mastoiditis Y Afecciones Relacionadas,H700,Mastoiditis aguda
H70,Mastoiditis Y Afecciones Relacionadas,H701,Mastoiditis cronica
H70,Mastoiditis Y Afecciones Relacionadas,H702,Petrositis
H70,Mastoiditis Y Afecciones Relacionadas,H708,Otras mastoiditis y afecciones relacionadas
H70,Mastoiditis Y Afecciones Relacionadas,H709,"Mastoiditis, no especificada"
H71,Colesteatoma Del Oido Medio,H71X,Colesteatoma del oido medio
H72,Perforacion De La Membrana Timpanica,H720,Perforacion central de la membrana timpanica
H72,Perforacion De La Membrana Timpanica,H721,Perforacion atica de la membrana timpanica
H72,Perforacion De La Membrana Timpanica,H722,Otras perforaciones marginales de la membrana timpanica
H72,Perforacion De La Membrana Timpanica,H728,Otras perforaciones de la membrana timpanica
H72,Perforacion De La Membrana Timpanica,H729,"Perforacion de la membrana timpanica, sin otra especificacion"
H73,Otros Trastornos De La Membrana Timpanica,H730,Miringitis aguda
H73,Otros Trastornos De La Membrana Timpanica,H731,Miringitis cronica
H73,Otros Trastornos De La Membrana Timpanica,H738,Otros trastornos especificados de la membrana timpanica
H73,Otros Trastornos De La Membrana Timpanica,H739,"Trastorno de la membrana timpanica, no especificado"
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H740,Timpanosclerosis
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H741,Enfermedad adhesiva del oido medio
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H742,Discontinuidad y dislocacion de los huesecillos del oido
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H743,Otras anormalidades adquiridas de los huesecillos del oido
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H744,Polipo del oido medio
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H748,Otros trastornos especificados del oido medio y de la apofisis mastoides
H74,Otros Trastornos Del Oido Medio Y De La Apofisis Mastoides,H749,"Trastorno del oido medio y de la apofisis mastoides, no especificado"
H75,Otros Trastornos Del Oido  Medio Y De La Apofisis Mastoides En Enfermedades Clasificadas En Otra Parte,H750,Mastoiditis en enfermedades infecciosas y parasitarias clasificadas en otra parte
H75,Otros Trastornos Del Oido  Medio Y De La Apofisis Mastoides En Enfermedades Clasificadas En Otra Parte,H758,Otros trastornos especificados del oido medio y de la apofisis mastoides en enfermedades clasificadas en otra parte
H80,Otosclerosis,H800,"Otosclerosis que afecta la ventana oval, no obliterante"
H80,Otosclerosis,H801,"Otosclerosis que afecta la ventana oval, obliterante"
H80,Otosclerosis,H802,Otosclerosis coclear
H80,Otosclerosis,H808,Otras otosclerosis
H80,Otosclerosis,H809,"Otosclerosis, no especificada"
H81,Trastornos De La Funcion Vestibular,H810,Enfermedad de meniere
H81,Trastornos De La Funcion Vestibular,H811,Vertigo paroxistico benigno
H81,Trastornos De La Funcion Vestibular,H812,Neuronitis vestibular
H81,Trastornos De La Funcion Vestibular,H813,Otros vertigos perifericos
H81,Trastornos De La Funcion Vestibular,H814,Vertigo de origen central
H81,Trastornos De La Funcion Vestibular,H818,Otros trastornos de la funcion vestibular
H81,Trastornos De La Funcion Vestibular,H819,"Trastorno de la funcion vestibular, no especificado"
H82,Sindromes Vertiginosos En Enfermedades Clasificadas En Otra Parte,H82X,Sindromes vertiginosos en enfermedades clasificadas en otra parte
H83,Otros Trastornos Del Oido Interno,H830,Laberintitis
H83,Otros Trastornos Del Oido Interno,H831,Fistula del laberinto
H83,Otros Trastornos Del Oido Interno,H832,Disfuncion del laberinto
H83,Otros Trastornos Del Oido Interno,H833,Efectos del ruido sobre el oido interno
H83,Otros Trastornos Del Oido Interno,H838,Otros trastornos especificados del oido interno
H83,Otros Trastornos Del Oido Interno,H839,"Trastorno del oido interno, no especificado"
H90,Hipoacusia Conductiva Y Neurosensorial,H900,Hipoacusia conductiva bilateral
H90,Hipoacusia Conductiva Y Neurosensorial,H901,"Hipoacusia conductiva, unilateral con audicion irrestricta contralateral"
H90,Hipoacusia Conductiva Y Neurosensorial,H902,"Hipoacusia conductiva, sin otra especificacion"
H90,Hipoacusia Conductiva Y Neurosensorial,H903,"Hipoacusia neurosensorial, bilateral"
H90,Hipoacusia Conductiva Y Neurosensorial,H904,"Hipoacusia neurosensorial, unilateral con audicion irrestricta contralateral"
H90,Hipoacusia Conductiva Y Neurosensorial,H905,"Hipoacusia neurosensorial, sin otra especificacion"
H90,Hipoacusia Conductiva Y Neurosensorial,H906,"Hipoacusia mixta conductiva y neurosensorial, bilateral"
H90,Hipoacusia Conductiva Y Neurosensorial,H907,"Hipoacusia mixta conductiva y neurosensorial, unilateral con audicion irrestricta contralateral"
H90,Hipoacusia Conductiva Y Neurosensorial,H908,"Hipoacusia mixta conductiva y neurosensorial, no especificada"
H91,Otras Hipoacusias,H910,Hipoacusia ototoxica
H91,Otras Hipoacusias,H911,Presbiacusia
H91,Otras Hipoacusias,H912,Hipoacusia subita idiopatica
H91,Otras Hipoacusias,H913,"Sordomudez, no clasificada en otra parte"
H91,Otras Hipoacusias,H918,Otras hipoacusias especificadas
H91,Otras Hipoacusias,H919,"Hipoacusia, no especificada"
H92,Otalgia Y Secrecion Del Oido,H920,Otalgia
H92,Otalgia Y Secrecion Del Oido,H921,Otorrea
H92,Otalgia Y Secrecion Del Oido,H922,Otorragia
H93,Otros Trastornos Del Oido No Clasificados En Otra Parte,H930,Trastornos degenerativos y vasculares del oido
H93,Otros Trastornos Del Oido No Clasificados En Otra Parte,H931,Tinnitus
H93,Otros Trastornos Del Oido No Clasificados En Otra Parte,H932,Otras percepciones auditivas anormales
H93,Otros Trastornos Del Oido No Clasificados En Otra Parte,H933,Trastornos del nervio auditivo
H93,Otros Trastornos Del Oido No Clasificados En Otra Parte,H938,Otros trastornos especificados del oido
H93,Otros Trastornos Del Oido No Clasificados En Otra Parte,H939,"Trastorno del oido, no especificado"
H94,Otros Trastornos Del Oido En Enfermedades Clasificadas En Otra Parte,H940,Neuritis del nervio auditivo en enfermedades infecciosas y parasitarias  clasificadas en otra parte
H94,Otros Trastornos Del Oido En Enfermedades Clasificadas En Otra Parte,H948,Otros trastornos especificados del oido en enfermedades clasificadas en otra parte
H95,Trastornos Del Oido Y De La Apofisis Mastoides Consecutivos A Procedimientos No Clasificados En Otra Parte,H950,Colesteatoma recurrente de la cavidad resultante de la mastoidectomia
H95,Trastornos Del Oido Y De La Apofisis Mastoides Consecutivos A Procedimientos No Clasificados En Otra Parte,H951,Otros trastornos posteriores  a la mastoidectomia
H95,Trastornos Del Oido Y De La Apofisis Mastoides Consecutivos A Procedimientos No Clasificados En Otra Parte,H958,"Otros trastornos del oido y de la apofisis mastoides, consecutivos a procedimientos"
H95,Trastornos Del Oido Y De La Apofisis Mastoides Consecutivos A Procedimientos No Clasificados En Otra Parte,H959,"Trastornos no especificados del oido y de la apofisis mastoides, consecutivos a procedimientos"
I00,Fiebre Reumatica Sin Mencion De Complicacion Cardiaca,I00X,Fiebre reumatica sin mencion de complicacion cardiaca
I01,Fiebre Reumatica Con Complicacion Cardiaca,I010,Pericarditis reumatica aguda
I01,Fiebre Reumatica Con Complicacion Cardiaca,I011,Endocarditis reumatica aguda
I01,Fiebre Reumatica Con Complicacion Cardiaca,I012,Miocarditis reumatica aguda
I01,Fiebre Reumatica Con Complicacion Cardiaca,I018,Otras enfermedades reumaticas agudas del corazon
I01,Fiebre Reumatica Con Complicacion Cardiaca,I019,"Enfermedad reumatica aguda del corazon, no especificada"
I02,Corea Reumatica,I020,Corea reumatica con complicacion cardiaca
I02,Corea Reumatica,I029,Corea reumatica sin mencion de complicacion cardiaca
I05,Enfermedades Reumaticas De La Valvula Mitral,I050,Estenosis mitral
I05,Enfermedades Reumaticas De La Valvula Mitral,I051,Insuficiencia mitral reumatica
I05,Enfermedades Reumaticas De La Valvula Mitral,I052,Estenosis mitral con insuficiencia
I05,Enfermedades Reumaticas De La Valvula Mitral,I058,Otras enfermedades de la valvula mitral
I05,Enfermedades Reumaticas De La Valvula Mitral,I059,"Enfermedad valvular mitral, no especificada"
I06,Enfermedades Reumaticas De La Valvula Aortica,I060,Estenosis aortica reumatica
I06,Enfermedades Reumaticas De La Valvula Aortica,I061,Insuficiencia aortica reumatica
I06,Enfermedades Reumaticas De La Valvula Aortica,I062,Estenosis aortica reumatica con insuficiencia
I06,Enfermedades Reumaticas De La Valvula Aortica,I068,Otras enfermedades reumaticas de la valvula aortica
I06,Enfermedades Reumaticas De La Valvula Aortica,I069,"Enfermedad valvular aortica reumatica, no especificada"
I07,Enfermedades Reumaticas De La Valvula Tricuspide,I070,Estenosis tricuspide
I07,Enfermedades Reumaticas De La Valvula Tricuspide,I071,Insuficiencia tricuspide
I07,Enfermedades Reumaticas De La Valvula Tricuspide,I072,Estenosis e insuficiencia tricuspide
I07,Enfermedades Reumaticas De La Valvula Tricuspide,I078,Otras enfermedades de la valvula tricuspide
I07,Enfermedades Reumaticas De La Valvula Tricuspide,I079,"Enfermedad de la valvula tricuspide, no especificada"
I08,Enfermedades Valvulares Multiples,I080,Trastornos de las valvulas mitral y aortica
I08,Enfermedades Valvulares Multiples,I081,Trastornos de las valvulas mitral y tricuspide
I08,Enfermedades Valvulares Multiples,I082,Trastornos de las valvulas aortica y tricuspide
I08,Enfermedades Valvulares Multiples,I083,"Trastornos combinados de las valvulas mitral, tricuspide y aortica"
I08,Enfermedades Valvulares Multiples,I088,Otras enfermedades de multiples valvulas
I08,Enfermedades Valvulares Multiples,I089,"Enfermedad de multiples valvulas, no especificada"
I09,Otras Enfermedades Reumaticas Del Corazon,I090,Miocarditis reumatica
I09,Otras Enfermedades Reumaticas Del Corazon,I091,"Enfermedades reumaticas del endocardio, valvula no especificada"
I09,Otras Enfermedades Reumaticas Del Corazon,I092,Pericarditis reumatica cronica
I09,Otras Enfermedades Reumaticas Del Corazon,I098,Otras enfermedades reumaticas especificadas del corazon
I09,Otras Enfermedades Reumaticas Del Corazon,I099,"Enfermedad reumatica del corazon, no especificada"
I10,Hipertension Esencial (Primaria),I10X,Hipertension esencial (primaria)
I11,Enfermedad Cardiaca Hipertensiva,I110,Enfermedad cardiaca hipertensiva con insuficiencia cardiaca (congestiva)
I11,Enfermedad Cardiaca Hipertensiva,I119,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)
I12,Enfermedad Renal Hipertensiva,I120,Enfermedad renal hipertensiva con insuficiencia renal
I12,Enfermedad Renal Hipertensiva,I129,Enfermedad renal hipertensiva sin insuficiencia renal
I13,Enfermedad Cardiorrenal Hipertensiva,I130,Enfermedad cardiorrenal hipertensiva con insuficiencia cardiaca (congestiva)
I13,Enfermedad Cardiorrenal Hipertensiva,I131,Enfermedad cardiorrenal hipertensiva con insuficiencia renal
I13,Enfermedad Cardiorrenal Hipertensiva,I132,Enfermedad cardiorrenal hipertensiva con insuficiencia cardiaca (congestiva) e insuficiencia renal 
I13,Enfermedad Cardiorrenal Hipertensiva,I139,"Enfermedad cardiorrenal hipertensiva, no especificada"
I15,Hipertension Secundaria,I150,Hipertension renovascular
I15,Hipertension Secundaria,I151,Hipertension secundaria a otros trastornos renales
I15,Hipertension Secundaria,I152,Hipertension secundaria  a trastornos endocrinos
I15,Hipertension Secundaria,I158,otros tipos de hipertension secundaria
I15,Hipertension Secundaria,I159,"Hipertension secundaria, no especificada"
I20,Angina De Pecho,I200,Angina inestable
I20,Angina De Pecho,I201,Angina de pecho con espasmo documentado
I20,Angina De Pecho,I208,Otras formas especificadas de angina de pecho
I20,Angina De Pecho,I209,"Angina de pecho, no especificada"
I21,Infarto Agudo Del Miocardio,I210,Infarto transmural agudo del miocardio de la pared anterior
